Name,Age,Nationality,Fifa Score,Club,Value,Salary,Continent
C. Masuda,32,Japan,68,Shimizu S-Pulse,€525K,€3K,AS'
C. Quaner,26,Germany,68,Huddersfield Town,€1.1M,€28K,EU'
Kim Ho Nam,28,Korea Republic,68,Sangju Sangmu FC,€900K,€5K,
R. Tunnicliffe,24,England,68,Millwall,€1.1M,€18K,
Jang Hyeon Soo,25,Korea Republic,68,F.C. Tokyo,€950K,€6K,
Saúl,22,Spain,68,RC Deportivo de La Coruña,€1.2M,€10K,EU'
C. Săpunaru,33,Romania,68,Kayserispor,€350K,€8K,EU'
Nosberto Vila,33,Brazil,68,Avaí Futebol Clube,€350K,€10K,SA'
J. Koprivec,28,Slovenia,68,,€0,€0.00,EU'
Pablo Marí,23,Spain,68,NAC Breda,€1.1M,€5K,EU'
K. Sharahili,29,Saudi Arabia,68,Al Faisaly,€600K,€12K,AS'
D. Grishko,31,Ukraine,68,FC SKA-Energiya Khabarovsk,€600K,€12K,EU'
K. Steppe,28,Belgium,68,Sint-Truidense VV,€725K,€6K,EU'
M. Coly,33,Senegal,68,Parma,€375K,€4K,AF'
A. Maxsø,23,Denmark,68,Osmanlıspor,€1.1M,€9K,EU'
L. Gregory,28,England,68,Millwall,€925K,€24K,
G. Deneuve,32,France,68,Bourg en Bresse Péronnas 01,€525K,€3K,EU'
M. Cissokho,30,Senegal,68,US Orléans Loiret Football,€850K,€4K,AF'
N. Pope,25,England,68,Burnley,€875K,€20K,
D. Buballa,27,Germany,68,FC St. Pauli,€825K,€10K,EU'
D. Lenihan,23,Republic of Ireland,68,Blackburn Rovers,€1.1M,€7K,
Jiang Zhipeng,28,China PR,68,,€0,€0.00,
J. Alnwick,24,England,68,Rangers,€975K,€18K,
C. González,24,Paraguay,68,Necaxa,€1.2M,€8K,SA'
S. Davies,29,England,68,Rochdale,€900K,€6K,
T. Fontaine,26,France,68,Clermont Foot 63,€875K,€4K,EU'
G. Hupperts,25,Netherlands,68,Sporting Lokeren,€1.1M,€9K,EU'
M. Antonsson,26,Sweden,68,Blackburn Rovers,€1.1M,€22K,EU'
J. Bela,24,France,68,Albacete Balompié,€1.2M,€5K,EU'
G. Ariyibi,22,United States,68,Milton Keynes Dons,€1.3M,€15K,
A. Afif,20,Qatar,68,KAS Eupen,€1.4M,€14K,AS'
L. Ayçiçek,23,Germany,68,SpVgg Greuther Fürth,€1.3M,€7K,EU'
J. Moya,24,Colombia,68,Independiente Santa Fe,€1M,€3K,SA'
F. Silva,26,Argentina,68,Colon de Santa Fe,€1.1M,€9K,SA'
Y. Endo,29,Japan,68,Kashima Antlers,€875K,€8K,AS'
U. Çiftçi,25,Turkey,68,Gençlerbirliği SK,€925K,€10K,AS'
R. Strebinger,24,Austria,68,SK Rapid Wien,€825K,€8K,EU'
D. Brown,26,Jamaica,68,D.C. United,€1.1M,€6K,NA'
N. Citro,28,Italy,68,Frosinone,€925K,€4K,EU'
Ença Fati,23,Guinea Bissau,68,Moreirense FC,€1.2M,€4K,
I. Markelov,29,Russia,68,FC Anzhi Makhachkala,€875K,€14K,
A. Mobara,23,South Africa,68,Orlando Pirates,€1.1M,€1K,AF'
B. Başdaş,27,Turkey,68,Kardemir Karabükspor,€750K,€8K,AS'
G. N'Gosso,32,Cameroon,68,Amiens SC Football,€525K,€11K,AF'
C. Corvalán,28,Argentina,68,Arsenal de Sarandí,€700K,€7K,SA'
F. Nájera,33,Colombia,68,La Equidad,€375K,€4K,SA'
A. Yoda,28,France,68,Getafe CF,€900K,€14K,EU'
P. Mandanda,27,DR Congo,68,Sporting Charleroi,€700K,€7K,
M. Đurić,27,Bosnia Herzegovina,68,Bristol City,€1M,€27K,
Puertas,25,Spain,68,Granada CF,€1.1M,€6K,EU'
Hedson Porfírio,29,Brazil,68,Botafogo de Futebol e Regatas,€875K,€12K,SA'
S. Salger,27,Germany,68,DSC Arminia Bielefeld,€850K,€5K,EU'
M. Arini,30,Italy,68,Cremonese,€825K,€3K,EU'
B. Meling,22,Norway,68,Rosenborg BK,€1M,€4K,EU'
A. Mbengue,25,Senegal,68,Terek Grozny,€1.2M,€20K,AF'
A. Coda,32,Italy,68,Pescara,€525K,€3K,EU'
A. Nandzik,24,Germany,68,SSV Jahn Regensburg,€1M,€6K,EU'
Ander Guevara,19,Spain,68,Real Sociedad,€1.2M,€9K,EU'
S. Kehli,26,France,68,Sporting Lokeren,€1.1M,€9K,EU'
L. Bittante,23,Italy,68,Carpi,€1M,€2K,EU'
C. Chiricò,25,Italy,68,Foggia,€1.1M,€3K,EU'
H. Sacko,23,France,68,Leeds United,€1.3M,€18K,EU'
D. Bičík,36,Czech Republic,68,Sparta Praha,€120K,€1K,EU'
Hwang Hee Chan,21,Korea Republic,68,FC Red Bull Salzburg,€1.5M,€16K,
Lucas Medeirão,33,Brazil,68,São Paulo Futebol Clube,€550K,€17K,SA'
M. Olivera,19,Uruguay,68,Getafe CF,€1.4M,€6K,SA'
A. Cocco,31,Italy,68,Pescara,€800K,€4K,EU'
P. Bråtveit,21,Norway,68,FK Haugesund,€1.3M,€2K,EU'
K. Walker,27,Sweden,68,Djurgårdens IF,€925K,€5K,EU'
R. Pröpper,23,Netherlands,68,Heracles Almelo,€1M,€5K,EU'
C. Carter-Vickers,19,United States,68,Sheffield United,€1.7M,€20K,
Diogo Dalot,18,Portugal,68,FC Porto,€1.6M,€4K,EU'
Pêpê,20,Portugal,68,Estoril Praia,€1.5M,€4K,EU'
B. Guillaume,22,Belgium,68,Angers SCO,€1.2M,€13K,EU'
K. Janus,31,Poland,68,Zagłębie Lubin,€775K,€6K,EU'
A. Bernal,29,Colombia,68,CD America de Cali,€700K,€4K,SA'
J. Windass,23,England,68,Rangers,€1.4M,€25K,
E. Koulouris,21,Greece,68,PAOK Thessaloniki,€1.5M,€1K,EU'
A. Barkok,19,Germany,68,Eintracht Frankfurt,€1.9M,€9K,EU'
R. Dekker,22,Netherlands,68,PEC Zwolle,€1.2M,€6K,EU'
A. Villete,26,Uruguay,68,Patriotas Boyacá FC,€775K,€1K,SA'
Jordi Mboula,18,Spain,68,AS Monaco,€1.8M,€10K,EU'
J. Nation,27,Norway,68,Vålerenga Fotball,€875K,€4K,EU'
E. Izaguirre,31,Honduras,68,Al Fayha,€575K,€12K,NA'
K. Drygas,25,Poland,68,Pogoń Szczecin,€950K,€4K,EU'
T. Grøgaard,23,Norway,68,Odds BK,€1.2M,€3K,EU'
J. Pajoy,28,Colombia,68,Independiente Santa Fe,€900K,€3K,SA'
N. Kreuzer,24,Germany,68,SG Dynamo Dresden,€1M,€7K,EU'
A. Auassar,30,Netherlands,68,Roda JC Kerkrade,€675K,€6K,EU'
F. Avenatti,24,Uruguay,68,Bologna,€1.2M,€26K,SA'
N. Kilkenny,31,Australia,68,Melbourne City,€600K,€7K,OC'
C. Martschinko,23,Austria,68,FK Austria Wien,€1M,€11K,EU'
D. Lazić,22,Serbia,68,Alanyaspor,€1.2M,€7K,EU'
Dener Rolim,29,Brazil,68,São Paulo Futebol Clube,€875K,€17K,SA'
R. Nissen Kristensen,19,Denmark,68,FC Midtjylland,€1.3M,€8K,EU'
J. Skalák,25,Czech Republic,68,Brighton & Hove Albion,€1.1M,€25K,EU'
M. Zaccagni,22,Italy,68,Hellas Verona,€1.5M,€14K,EU'
P. McGowan,29,Scotland,68,Dundee FC,€875K,€5K,
Wang Yongpo,30,China PR,68,,€0,€0.00,
M. Sánchez,29,Argentina,68,Melbourne Victory,€700K,€6K,SA'
S. Morsy,25,Egypt,68,Wigan Athletic,€1.1M,€8K,AF'
A. MacDonald,24,England,68,Barnsley,€1M,€6K,
Rafael Costa,26,Brazil,68,Moreirense FC,€1.1M,€5K,SA'
A. Nouri,27,Norway,68,SK Brann,€825K,€4K,EU'
T. Geyer,26,Germany,68,VfR Aalen,€775K,€1K,EU'
Aitor García,23,Spain,68,Cádiz C.F.,€1.3M,€5K,EU'
V. Castillo,29,Colombia,68,Atlético Huila,€700K,€1K,SA'
Samu Delgado,24,Spain,68,C.D. Leonesa S.A.D.,€1.2M,€5K,EU'
A. Piccolo,29,Italy,68,Cremonese,€875K,€3K,EU'
J. Paganoni,28,Mexico,68,Tiburones Rojos de Veracruz,€700K,€6K,NA'
C. Pontius,29,United States,68,Philadelphia Union,€875K,€6K,
A. Fidler,33,Russia,68,FC Ural,€375K,€18K,
G. Skondras,27,Greece,68,Hamilton Academical FC,€825K,€5K,EU'
A. Tzanetopoulos,22,Greece,68,AEK Athens,€1M,€1K,EU'
S. Cronin,30,United States,68,Minnesota Thunder,€675K,€5K,
R. Hall,23,England,68,Oxford United,€1.2M,€6K,
A. Hofmann,31,Germany,68,Karlsruher SC,€600K,€1K,EU'
V. Parigini,21,Italy,68,Benevento Calcio,€1.5M,€14K,EU'
M. Duruer,29,Turkey,68,Gençlerbirliği SK,€875K,€12K,AS'
S. Salinas,31,United States,68,San Jose Earthquakes,€775K,€5K,
P. Caddis,29,Scotland,68,Blackburn Rovers,€675K,€8K,
S. Makienok,26,Denmark,68,FC Utrecht,€1.1M,€8K,EU'
Z. Filipović,28,Slovenia,68,KV Mechelen,€900K,€10K,EU'
Welson Leima,33,Brazil,68,Associação Chapecoense de Futebol,€375K,€10K,SA'
R. Buess,24,Switzerland,68,FC St. Gallen,€1.2M,€9K,EU'
Q. Menig,21,Netherlands,68,Oldham Athletic,€1.2M,€11K,EU'
F. De Col,23,Italy,68,La Spezia,€1M,€3K,EU'
I. Ouali,29,Algeria,68,KV Kortrijk,€875K,€10K,AF'
Lee Seung Hee,29,Korea Republic,68,Pohang Steelers,€700K,€7K,
A. Aleksandrov,31,Bulgaria,68,,€0,€0.00,EU'
P. Araujo,29,Mexico,68,Puebla,€700K,€6K,NA'
A. Hammill,29,England,68,Barnsley,€875K,€8K,
Z. Majer,24,Slovenia,68,FC Rostov,€1.2M,€17K,EU'
L. Nomenjanahary,31,Madagascar,68,Paris FC,€775K,€5K,AF'
A. Nikitin,25,Russia,68,FC Ufa,€1M,€14K,
K. Dowell,19,England,68,Nottingham Forest,€1.9M,€27K,
Josete,29,Spain,68,CD Lugo,€775K,€6K,EU'
C. Dielna,29,France,68,New England Revolution,€700K,€5K,EU'
M. Vidal,26,France,68,Toulouse FC,€800K,€12K,EU'
J. Tshibumbu,28,DR Congo,68,Tours FC,€925K,€6K,
D. Koppers,25,Netherlands,68,PEC Zwolle,€900K,€6K,EU'
L. Murillo,26,Colombia,68,CD Once Caldas Manizales,€875K,€2K,SA'
L. Bijker,24,Netherlands,68,Cádiz C.F.,€975K,€5K,EU'
Nili Perdomo,23,Spain,68,Albacete Balompié,€1.1M,€5K,EU'
Vasco Costa,25,Portugal,68,Vitória Setúbal,€1.1M,€6K,EU'
L. Agouazi,33,Algeria,68,Chamois Niortais FC,€375K,€4K,AF'
Juan Carlos,26,Spain,68,CD Tenerife,€1.1M,€6K,EU'
C. Matei,25,Romania,68,Gençlerbirliği SK,€1.1M,€11K,EU'
R. Gíslason,29,Iceland,68,1. FC Nürnberg,€875K,€9K,EU'
K. Agard,27,England,68,Milton Keynes Dons,€1M,€9K,
S. Yatabaré,28,Mali,68,Royal Antwerp FC,€900K,€17K,AF'
E. Jelenič,24,Slovenia,68,Carpi,€1.2M,€3K,EU'
S. Kroon,24,Sweden,68,FC Midtjylland,€1.2M,€14K,EU'
E. Castillo,30,United States,68,Monterrey,€650K,€26K,
I. Chaykovskyi,25,Ukraine,68,FC Anzhi Makhachkala,€1M,€12K,EU'
Rabiola,27,Portugal,68,FC Paços de Ferreira,€950K,€7K,EU'
E. Manu,23,Ghana,68,Gençlerbirliği SK,€1.2M,€11K,AF'
E. Thommy,22,Germany,68,FC Augsburg,€1.3M,€13K,EU'
L. Ceccarelli,34,Italy,68,Virtus Entella,€270K,€2K,EU'
T. Andrade,20,Argentina,68,River Plate,€2M,€10K,SA'
K. Noborizato,26,Japan,68,Kawasaki Frontale,€1.1M,€6K,AS'
B. Figueraz,25,Chile,68,CD Palestino,€800K,€3K,SA'
R. Morioka,26,Japan,68,Waasland-Beveren,€1.1M,€8K,AS'
Álex Menéndez,25,Spain,68,CF Reus Deportiu,€925K,€5K,EU'
I. Lores Varela,26,Uruguay,68,Ascoli,€1.1M,€3K,SA'
F. Córdoba,28,Colombia,68,Deportivo Pasto,€700K,€2K,SA'
J. Ortiz,24,Colombia,68,CD Once Caldas Manizales,€1.2M,€1K,SA'
Jadson Castrelo,33,Brazil,68,Clube Atlético Paranaense,€375K,€9K,SA'
K. McFadzean,30,England,68,Burton Albion,€675K,€7K,
V. Shakhov,26,Russia,68,FC Tosno,€1M,€12K,
M. de Leeuw,30,Netherlands,68,Chicago Fire Soccer Club,€850K,€5K,EU'
M. Baudry,27,Congo,68,SV Zulte-Waregem,€875K,€9K,AF'
M. Baudry,27,Congo,68,SV Zulte-Waregem,€875K,€9K,AF'
I. Stefanović,29,Serbia,68,Córdoba CF,€600K,€6K,EU'
Simy,25,Nigeria,68,Crotone,€1.1M,€9K,AF'
D. Tumasyan,32,Russia,68,FC Ufa,€525K,€15K,
F. Brandán,27,Argentina,68,Melbourne City,€950K,€9K,SA'
E. Andrade,29,Mexico,68,Tiburones Rojos de Veracruz,€850K,€6K,NA'
M. Chrien,21,Slovakia,68,SL Benfica,€1.4M,€6K,
S. Frei,31,United States,68,Seattle Sounders FC,€550K,€4K,
T. Margasov,25,Russia,68,Lokomotiv Moscow,€925K,€20K,
Adão Salvadaldo,33,Brazil,68,Clube Atlético Paranaense,€575K,€10K,SA'
T. Kida,22,Japan,68,Yokohama F. Marinos,€1.1M,€5K,AS'
Fábinho,32,Brazil,68,Philadelphia Union,€500K,€5K,SA'
M. Hornschuh,26,Germany,68,FC St. Pauli,€900K,€10K,EU'
Mosquito,21,Brazil,68,Arsenal de Sarandí,€2M,€6K,SA'
L. DeVere,27,Australia,68,Brisbane Roar,€875K,€4K,OC'
N. Giani,31,Italy,68,La Spezia,€600K,€3K,EU'
D. Terentyev,24,Russia,68,Zenit St. Petersburg,€1M,€24K,
E. Castañeda,24,Colombia,68,CD America de Cali,€975K,€1K,SA'
Y. Hinestroza,32,Colombia,68,Deportivo Pasto,€500K,€2K,SA'
F. Marković,25,Serbia,68,RC Lens,€1.1M,€6K,EU'
C. Alhadhur,25,Comoros,68,La Berrichonne de Châteauroux,€925K,€12K,AF'
A. Tello,20,Colombia,68,Bari,€1.4M,€37K,SA'
R. Aguilar,24,France,68,Montpellier Hérault SC,€1M,€12K,EU'
N. Gjorgjev,19,FYR Macedonia,68,FC Twente,€1.4M,€7K,
Fabrício,27,Brazil,68,Portimonense SC,€1M,€6K,SA'
S. Gustafson,22,Sweden,68,Torino,€1.2M,€20K,EU'
C. Dell'Orco,23,Italy,68,Sassuolo,€1M,€21K,EU'
V. Klonaridis,24,Greece,68,AEK Athens,€1.1M,€1K,EU'
G. Coutinho,34,Netherlands,68,AZ Alkmaar,€375K,€5K,EU'
M. Pérez,24,Mexico,68,Guadalajara,€1M,€23K,NA'
R. Williams,25,South Africa,68,,€0,€0.00,AF'
Pedró,29,Portugal,68,CD Aves,€875K,€8K,EU'
Luis Valcarce,24,Spain,68,CD Numancia,€1M,€5K,EU'
J. Cardona,22,Colombia,68,Asociacion Deportivo Cali,€1.3M,€2K,SA'
B. Vincent,23,United States,68,Chicago Fire Soccer Club,€1M,€4K,
Bruno Gomes,20,Brazil,68,Estoril Praia,€1.6M,€5K,SA'
S. Bruzzese,28,Belgium,68,KV Kortrijk,€725K,€7K,EU'
I. Vorsah,29,Ghana,68,Ohod Club,€700K,€12K,AF'
J. Faussurier,30,France,68,Stade Brestois 29,€850K,€5K,EU'
C. Ayala,31,Colombia,68,CD America de Cali,€600K,€2K,SA'
Borja Domínguez,25,Spain,68,AD Alcorcón,€1M,€6K,EU'
A. Quan,31,China PR,68,,€0,€0.00,
Z. Erdal,29,Turkey,68,Medicana Sivasspor,€675K,€9K,AS'
S. Luaibi,25,Iraq,68,Al Shabab,€950K,€17K,AS'
J. Blayac,34,France,68,RC Strasbourg,€475K,€15K,EU'
S. Altamiras,33,Chile,68,San Luis de Quillota,€550K,€3K,SA'
G. Puşcaş,21,Romania,68,Benevento Calcio,€1.5M,€27K,EU'
M. Jevtović,24,Serbia,68,Rosenborg BK,€1.2M,€11K,EU'
Elgezabal,24,Spain,68,CD Numancia,€975K,€9K,EU'
Guilherme Sityá,27,Brazil,68,Jagiellonia Białystok,€825K,€6K,SA'
J. Bacuna,19,Netherlands,68,FC Groningen,€1.3M,€4K,EU'
L. Frecklington,31,Republic of Ireland,68,Rotherham United,€775K,€8K,
V. Marcel,20,France,68,OGC Nice,€1.7M,€14K,EU'
Escassi,28,Spain,68,CD Numancia,€825K,€6K,EU'
J. Van Rankin,24,Mexico,68,U.N.A.M.,€1M,€10K,NA'
M. Bakić,23,Montenegro,68,SC Braga,€1.2M,€6K,EU'
H. Rojas,29,Colombia,68,CD Los Millionarios Bogota,€850K,€3K,SA'
M. Arrufe,29,Chile,68,Universidad Católica,€875K,€5K,SA'
Franci Martinho,33,Brazil,68,Associação Atlética Ponte Preta,€575K,€11K,SA'
W. Yarbrough,28,United States,68,Club León,€625K,€14K,
M. Birighitti,26,Australia,68,NAC Breda,€850K,€5K,OC'
J. Quiñones,27,Colombia,68,Deportes Tolima,€875K,€1K,SA'
Pomares,24,Spain,68,Lorca Deportiva CF,€1.1M,€5K,EU'
N. Besara,26,Sweden,68,Örebro SK,€1.1M,€4K,EU'
Z. Bergdich,28,Morocco,68,FC Sochaux-Montbéliard,€900K,€7K,AF'
D. Zbozień,28,Poland,68,Arka Gdynia,€700K,€6K,EU'
F. Özçal,26,Turkey,68,Bursaspor,€1M,€11K,AS'
J. Byrne,21,Republic of Ireland,68,Oldham Athletic,€1.4M,€7K,
K. Hyland,28,Trinidad & Tobago,68,Al Faisaly,€725K,€14K,
Y. Stark,26,Germany,68,SV Darmstadt 98,€900K,€13K,EU'
M. Tanković,22,Sweden,68,Hammarby IF,€1.2M,€4K,EU'
Raúl Llorente,31,Spain,68,Western Sydney Wanderers,€575K,€6K,EU'
S. Williams,27,United States,68,Vancouver Whitecaps FC,€750K,€5K,
M. Knoll,26,Germany,68,SSV Jahn Regensburg,€875K,€7K,EU'
W. Francis,26,Costa Rica,68,Columbus Crew SC,€850K,€5K,NA'
Miguel Cardoso,23,Portugal,68,Tondela,€1.3M,€4K,EU'
E. Duplan,34,France,68,ADO Den Haag,€450K,€8K,EU'
Galeno,19,Brazil,68,FC Porto,€1.5M,€5K,SA'
R. Ince,24,England,68,Bury,€975K,€21K,
L. Höler,22,Germany,68,SV Sandhausen,€1.2M,€5K,EU'
Servando,33,Spain,68,Cádiz C.F.,€375K,€5K,EU'
F. Della Rocca,29,Italy,68,Salernitana,€850K,€4K,EU'
F. Gounongbe,29,Benin,68,Cardiff City,€900K,€19K,AF'
M. Gouaida,24,Tunisia,68,Hamburger SV,€1.2M,€17K,AF'
F. Schönheim,30,Germany,68,1. FC Union Berlin,€675K,€17K,EU'
R. Wallace,29,Costa Rica,68,New York City Football Club,€875K,€6K,NA'
C. Ramírez,24,Mexico,68,Club Atlas,€1.2M,€25K,NA'
E. Revolledo,29,Chile,68,CD Huachipato,€875K,€5K,SA'
I. Uzochukwu,27,Nigeria,68,Odense Boldklub,€1M,€9K,AF'
Pelayo,26,Spain,68,Albacete Balompié,€1.1M,€6K,EU'
Rafinha,35,Brazil,68,HJK Helsinki,€190K,€1K,SA'
A. Vacca,27,Italy,68,Foggia,€1M,€3K,EU'
C. Chimino,29,Argentina,68,Club Atlético Huracán,€675K,€7K,SA'
E. Farias,29,Venezuela,68,CD Once Caldas Manizales,€900K,€2K,SA'
J. Garro,24,Argentina,68,Godoy Cruz,€1.3M,€8K,SA'
B. Dibassy,27,France,68,Amiens SC Football,€750K,€11K,EU'
Anderson Conceição,27,Brazil,68,Grupo Desportivo de Chaves,€750K,€5K,SA'
H. Urrego,24,Colombia,68,Independiente Santa Fe,€1M,€3K,SA'
M. McGovern,32,Northern Ireland,68,Norwich City,€525K,€15K,
C. Matheu,32,Argentina,68,Club Atlético Huracán,€525K,€8K,SA'
L. Heredia,20,Argentina,68,Colon de Santa Fe,€1.3M,€6K,SA'
Thiago Cardoso,25,Brazil,68,Estoril Praia,€925K,€5K,SA'
P. Testroet,26,Germany,68,SG Dynamo Dresden,€975K,€10K,EU'
J. Aguirre,25,Argentina,68,Puebla,€1.1M,€8K,SA'
A. Ajagun,25,Nigeria,68,KV Kortrijk,€1.1M,€9K,AF'
D. O'Dea,30,Republic of Ireland,68,Dundee FC,€675K,€5K,
Iriondo,22,Spain,68,Granada CF,€1M,€10K,EU'
A. Oukidja,28,France,68,RC Strasbourg,€750K,€11K,EU'
L. Kruse,33,Germany,68,Holstein Kiel,€450K,€6K,EU'
W. Saïd,22,France,68,Dijon FCO,€1.4M,€11K,EU'
Matheus Índio,21,Brazil,68,Estoril Praia,€1.5M,€5K,SA'
R. Vincelot,31,France,68,Bradford City,€600K,€7K,EU'
B. Urribarri,30,Argentina,68,Club Atlético Patronato,€650K,€6K,SA'
A. Tonev,27,Bulgaria,68,Crotone,€950K,€9K,EU'
R. Aponzá,28,Colombia,68,CD Los Millionarios Bogota,€900K,€3K,SA'
I. Pelizzoli,36,Italy,68,Foggia,€120K,€2K,EU'
H. Al Raheb,33,Saudi Arabia,68,Al Nassr,€575K,€23K,AS'
O. Bouy,24,Morocco,68,C.D. Leonesa S.A.D.,€1M,€16K,AF'
J. Dongou Tsafack,22,Cameroon,68,Gimnàstic de Tarragona,€1.4M,€7K,AF'
J. Mahecha,29,Colombia,68,La Equidad,€850K,€2K,SA'
Freddy Cardouso,29,Brazil,68,Avaí Futebol Clube,€875K,€11K,SA'
T. Breukers,29,Netherlands,68,Heracles Almelo,€675K,€7K,EU'
K. Conboy,29,Denmark,68,Randers FC,€675K,€9K,EU'
G. Charbonnier,28,France,68,Stade Brestois 29,€900K,€5K,EU'
M. Herrera,28,Mexico,68,Club León,€825K,€17K,NA'
I. Lichnovsky,23,Chile,68,Necaxa,€1.1M,€7K,SA'
L. Azcona,33,Ecuador,68,,€0,€0.00,SA'
J. MacDonald,31,Scotland,68,Kilmarnock,€550K,€4K,
A. Mlinar Delamea,26,Slovenia,68,New England Revolution,€775K,€5K,EU'
A. Karaer,29,Turkey,68,Osmanlıspor,€675K,€11K,AS'
L. Brogno,24,Belgium,68,Sparta Rotterdam,€1.1M,€7K,EU'
F. Vicari,22,Italy,68,Ferrara (SPAL),€1.1M,€7K,EU'
R. van Drongelen,18,Netherlands,68,Hamburger SV,€1.7M,€9K,EU'
H. Magnússon,24,Iceland,68,Bristol City,€1M,€19K,EU'
L. Gallegos,25,Chile,68,Necaxa,€1.1M,€8K,SA'
A. Chumacero,26,Bolivia,68,,€0,€0.00,SA'
J. Meredith,29,Australia,68,Millwall,€675K,€20K,OC'
L. George,30,Netherlands,68,Melbourne Victory,€850K,€7K,EU'
S. Parker,24,Germany,68,FC Augsburg,€1.2M,€14K,EU'
T. Boere,24,Netherlands,68,FC Twente,€1.2M,€7K,EU'
P. Gladon,25,Netherlands,68,Heracles Almelo,€1.1M,€29K,EU'
A. Ordóñez,23,Ecuador,68,Eintracht Frankfurt,€1.1M,€12K,SA'
T. Koubek,24,Czech Republic,68,Stade Rennais FC,€825K,€8K,EU'
M. Seuntjens,25,Netherlands,68,AZ Alkmaar,€1.1M,€7K,EU'
E. Pogatetz,34,Austria,68,LASK Linz,€270K,€10K,EU'
D. de Vries,36,Netherlands,68,Celtic,€120K,€14K,EU'
G. Modica,26,Argentina,68,1. FC Kaiserslautern,€900K,€8K,SA'
P. Bernier,37,Canada,68,Montreal Impact,€280K,€4K,NA'
M. Rubin,29,Italy,68,Foggia,€675K,€3K,EU'
C. Telo,27,Sweden,68,Molde FK,€825K,€5K,EU'
G. Koffie,25,Ghana,68,New England Revolution,€925K,€3K,AF'
M. van der Hart,23,Netherlands,68,PEC Zwolle,€925K,€4K,EU'
C. Arango,22,Colombia,68,CD Aves,€1.3M,€7K,SA'
B. Sanneh,22,Gambia,68,AC Horsens,€1.5M,€6K,AF'
M. Karl,31,Germany,68,SV Sandhausen,€600K,€4K,EU'
L. Burián,33,Uruguay,68,Godoy Cruz,€450K,€6K,SA'
V. Podberezkin,25,Russia,68,FC Krasnodar,€1.1M,€22K,
Sergio Marcos,25,Spain,68,Real Valladolid,€1.2M,€6K,EU'
Adão Morrinhos,25,Brazil,68,Cruzeiro,€1M,€17K,SA'
G. Til,19,Netherlands,68,AZ Alkmaar,€1.4M,€4K,EU'
A. Sosnin,27,Russia,68,Dinamo Moscow,€750K,€18K,
M. Ureña,27,Costa Rica,68,San Jose Earthquakes,€1M,€6K,NA'
S. Schwab,26,Austria,68,SK Rapid Wien,€950K,€13K,EU'
J. Rinne,24,Sweden,68,Aalborg BK,€875K,€6K,EU'
D. Perkins,35,England,68,Wigan Athletic,€375K,€6K,
Eduardo,24,Brazil,68,Estoril Praia,€1.2M,€5K,SA'
Varela,22,Spain,68,Real Oviedo,€1.1M,€5K,EU'
M. Fatau,24,Ghana,68,Al Qadisiyah,€1M,€8K,AF'
A. Armstrong,20,England,68,Bolton Wanderers,€1.7M,€30K,
T. Lam,23,Finland,68,FC Twente,€925K,€13K,EU'
Caro,24,Spain,68,Córdoba CF,€1M,€6K,EU'
Jesús Imaz,26,Spain,68,Wisła Kraków,€1.1M,€5K,EU'
Francisco Ramos,22,Portugal,68,Vitória Guimarães,€1.4M,€6K,EU'
N. Wako,27,Japan,68,Kashiwa Reysol,€825K,€7K,AS'
E. Mendy,25,France,68,Stade de Reims,€875K,€5K,EU'
A. Mendoza,23,Mexico,68,U.N.A.M.,€1M,€10K,NA'
D. Bain,23,France,68,Le Havre AC,€1.2M,€4K,EU'
J. Roa,25,Colombia,68,Independiente Santa Fe,€1.1M,€3K,SA'
J. Payne,22,England,68,Oxford United,€1.2M,€23K,
L. Valzania,21,Italy,68,Pescara,€1.6M,€12K,EU'
A. Huancañez,33,Chile,68,Deportes Iquique,€575K,€3K,SA'
J. George,24,Germany,68,SSV Jahn Regensburg,€1.1M,€7K,EU'
X. Chavalerin,26,France,68,Stade de Reims,€1.1M,€7K,EU'
C. Deac,31,Romania,68,,€0,€0.00,EU'
C. Schoppenhauer,25,Germany,68,FC St. Pauli,€950K,€10K,EU'
A. Demircan,26,Turkey,68,Atiker Konyaspor,€750K,€8K,AS'
Marc Gual,21,Spain,68,Sevilla Atlético,€1.3M,€4K,EU'
R. Camacho,26,France,68,Waasland-Beveren,€925K,€7K,EU'
K. Petersen,32,Denmark,68,Odense Boldklub,€525K,€8K,EU'
C. Colmán,23,Paraguay,68,FC Dallas,€1.3M,€5K,SA'
Tiago Galvão,27,Brazil,68,Grupo Desportivo de Chaves,€925K,€6K,SA'
K. Boyd,33,Scotland,68,Kilmarnock,€575K,€6K,
E. Enza-Yamissi,34,Central African Rep.,68,Valenciennes FC,€270K,€4K,
E. Ward,32,England,68,Blackburn Rovers,€525K,€8K,
Cris Laranjeiros,33,Brazil,68,Coritiba Foot Ball Club,€575K,€15K,SA'
J. Bothroyd,35,England,68,Hokkaido Consadole Sapporo,€400K,€3K,
V. Sarno,29,Italy,68,Foggia,€875K,€3K,EU'
C. McLaughlin,25,Northern Ireland,68,Millwall,€900K,€18K,
J. Fjóluson,28,Iceland,68,IFK Norrköping,€825K,€4K,EU'
J. Vanlerberghe,21,Belgium,68,Club Brugge KV,€1.1M,€9K,EU'
M. Osuna,28,Mexico,68,Monarcas Morelia,€725K,€7K,NA'
L. Villalba,22,Argentina,68,Club Atlético Huracán,€1M,€10K,SA'
M. Neumayr,31,Germany,68,Kasimpaşa SK,€775K,€9K,EU'
